diploma_id,nom,universite,filiere,mention,hash,label
ENSIAS-2023-ZX-16803,Michael Edwards DDS,ENSIAS,Data Science,Tres Bien,9e516bbfe6d75da2f802c1ea38e5864851e37ceecc4b0283fa0cef049d9e09d0,1
ESI-2026-ZX-25871,Amy Warner,ESI,Informatique,Assez Bien,29aa49c8ea7a31e143348377349ca258e47ae32580c2a58fce110f7eb54f020f,1
EMI-2023-ZX-26999,Thomas Myers,EMI,Data Science,Assez Bien,a11f05a7efc610a926aeb5ecbe70ddcc378e4b5d98426eac34143b8ab8624ba2,1
ENSA-2023-ZX-24351,Kyle Knight,ENSA,Cybersecurity,Bien,d792ff4f6f1ff7fb5177e9c1f3f7a7c3e277c249c617871dae4ea7bd70f0d63a,1
ENSIAS-2023-XX-67194,Christine Bridges,ENSIAS,AI,Tres Bien,9b7d743f5e93471b01acf5e3832ab3c9f3bf91db3d6dddfe15fce923d9994943,0
ESI-2026-ZX-73334,Kim Berg,ESI,AI,Tres Bien,9807ea69caec45b09296f13f7200ac328c50d981102f27ef56408470b988d212,1
UM5-2023-ZX-87934,James Ho,UM5,Data Science,Assez Bien,d23965f57678320bc03178a9763099371b61e3193a9cae4aa786284b35591be2,1
EMI-2023-ZX-58800,Judy King,EMI,Blockchain,Assez Bien,bca2a4c70960b40a50d52293d8fc3eefe9fd74b2429be1744d9861d7463f42ee,0
EMI-2026-ZX-36284,Matthew Johnson,EMI,Data Science,Tres Bien,28ff643ad8039043c87f3826eeb12a40bb8a3cadf7987e60cd8324a0b8b992ec,1
ENSIAS-2026-ZX-72626,Annette Walters,ENSIAS,Fake AI,Passable,7b1eca3e529f65838d440c3bfc41c621d98013597e2e26868f91eef2942d3c75,0
ENSA-2024-ZX-70119,Christopher Johnson,ENSA,Blockchain,Passable,2b6a76581c994d00f4e0ea23fc798858f346b15e4189961ce2ebd376cd03aa19,0
UM5-2024-ZX-56946,Brian Knapp,UM5,Cybersecurity,Bien,62aed72637b031454819dffaa83cbc824f0d93ecb3aeb490f52d936946209bc1,0
ENSIAS-2026-ZX-14067,Jose Lucas,UM6,Cybersecurity,Passable,bcc66e4ba2088db6a845ce79dcba7fa062119d9922ac96f8ca9b546968789e98,0
ENSIAS-2025-ZX-59870,David Clark,ENSIAS,AI,Passable,54715cc5a5fc5d4cf11fcb00ff482dff909e4d39d3f673ec4d2d76686bb3a4b4,1
UM5-2024-ZX-50870,Rebecca Cox,UM5,Informatique,Assez Bien,2ee4633ba43bd584d028b3d1c1f09670b468b1a9ef926e9f35e106c7c61c65fb,1
ENSA-2024-ZX-20207,Keith Olson,UM6,AI,Bien,9715a1e6b1283315381383255deb24f613e31d5c06c7cc71bf71abf9cf33a881,0
UM5-2023-ZX-15795,Kenneth Decker,UM5,AI,Tres Bien,e978abaa0b86df5c5cbdf5bb3b0a83ecbd31421ab0d0c2d2ef6ce168e91b5e6a,1
ENSA-2026-XX-45745,Jacob Allen,ENSA,Informatique,Passable,ffb2483df345244c50008bcb477a4951c5cde31343ec757be2d7ded8acb98239,0
ENSA-2023-ZX-96527,Julia Jacobs,ENSA,AI,Bien,c764d7e51fb519a3b53c47ca1147e3e870eb0a01c9dfbee165fb589773f03340,1
UM5-2025-ZX-92222,Ryan Snyder,UM5,Blockchain,Passable,b5fca49f4ee77614fa4a4599699d6c1624c215d4f69459f27ec24e5058a9884c,1
UM5-2026-ZX-27631,Melanie Best,UM5,Cybersecurity,Tres Bien,380d7033fa5ff1e982d988a99ef036f333690bcfc1ca3e692a2c04075f48f236,0
ENSA-2023-ZX-21741,Mark Smith,ENSA,Data Science,Bien,b22da88777d3fbec24fd81e8e862d55a98c5e42c614f1c8421290be3ba7d946f,1
ENSA-2025-ZX-76074,Paul Williams,ENSA,Cybersecurity,Passable,29a4b60afe814639fe64f9eee37a07e8b93702b8907cbbefed0eb01c625aef73,1
UM5-2025-ZX-50230,Kathy Logan,UM5,Informatique,Passable,ea0ce69db95987cc5208be568a889be0b045064b66ec5aecd18866eaa766f235,1
EMI-2023-ZX-81535,Dustin Martinez,EMI,Blockchain,Bien,ff10b6ca25a1be42687c65c5efc355302940e9ac12a919a04a383ad52a2daec6,1
ENSA-2024-ZX-28911,Sharon Smith,ENSA,AI,Passable,21aa652e760380544e67df4126061793ea606a76a1c324e643f83e40c3496f86,1
EMI-2023-ZX-94103,April Ashley,EMI,AI,Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ENSA-2024-ZX-58126,Savannah Oliver,ENSA,Informatique,Bien,d9043b0856637e3102d9e40f5853217857ed4d64a9aa0ffa12970213e865a8b5,0
UM5-2024-ZX-14820,Gregory Thornton,UM5,Blockchain,Bien,5f5c02eb2337cc5ebfbda13abafb1bb8c97a14f927ddd09e0a068c094131ade6,1
ENSA-2026-ZX-61867,Carl Hansen,ENSA,AI,Bien,f1f07865a8a81b8a715f9d71deea0b3f91ca3ec5d5a2e72c875ab62cc94c2c49,1
ESI2026ZX37404,Larry Wolf,ESI,AI,Passable,0b6e4569ffb35c6ecdd10ffdc52b35b2b95622c3a97365e89b86be9636b6bc7b,0
ENSIAS-2025-ZX-88831,Justin Torres,ENSIAS,Informatique,Passable,906b662f66169626f4ebb8fbadf969de3a1592ed0fc67b846ceb7480d0e9c47a,1
ESI-2023-ZX-72706,Crystal Nelson,ESI,AI,Assez Bien,eaf8558c6f15e857e7ad28f4b204324bc51f6a184374841cb3a76d0aca5363bb,1
ESI-2023-ZX-85373,James Wells,ESI,Cybersecurity,Assez Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ENSIAS2026ZX23108,Karen Perry,ENSIAS,AI,Passable,bf794f45e1103a18030786eae5bc2645dde712f49a68036adddcf65b83d95707,0
UM5-2026-ZX-25495,Brandon Mullen,UM5,Data Science,Bien,2bbdc14d6d84ff951924dc4b810872d049c47c9e07436a3b6926b34b01853674,1
ENSA-2026-ZX-38867,Gina Vasquez,ENSA,AI,Assez Bien,3f537ff4901b5fc4d0c297073b3c5a9933beabf32be687e80b42a343fff15fb4,1
UM5-2010-ZX-97225,Jessica Long,UM5,Cybersecurity,Tres Bien,a44a230697c7a7af62f34601c11268c736f1016381b815ae1221a28b20276104,0
UM5-2026-ZX-30033,Gregory Haas,UM5,Cybersecurity,Assez Bien,e06220566a64a5d2825dbfdaa91827f3c1aeda75d089833fa6b9743f5d37b032,1
ESI-2026-ZX-92594,Troy Rush,ESI,AI,Bien,0d7f30ed95b36ac45623fb88c23b637ce4e3df3a00e89a6d6241151b6927ba6c,1
EMI-2023-ZX-45123,Joshua Henry,EMI,Cybersecurity,Tres Bien,cfb0cc1189774c61838a7c2503a4db93a4ba7e37829ad1ef528ffe6b1b27386d,1
ENSIAS-2026-ZX-30861,Daniel Welch,ENSIAS,Informatique,Assez Bien,1f248302a035f14e25874a6aed536fc23f4a62245ef123062e50ca6e56472130,1
ESI-2025-ZX-79356,Jose Lambert,ESI,Cybersecurity,Tres Bien,c14c5f4b1bdc8ea9b1b6ad10c528ec394c74d4565f8b3fa18550ab05eb9d68dd,1
ENSIAS-2025-ZX-54203,Ronald Taylor,ENSIAS,AI,Passable,73a6fe7fedb16184be52e628749e89caa73a2f09a63b006558339e32815d1d1f,1
ENSIAS-2024-ZX-39815,William Parsons,ENSIAS,AI,Tres Bien,046eee581a175f94aa3484e8cc419bbe7519072a23f5b186ae00d23687ddde67,1
EMI-2026-ZX-35923,Elizabeth Mckay,EMI,Cybersecurity,Passable,336b4c4d106d0074175c49906f120b2954e939b233bc0094060f1cac5482d2c5,1
UM5-2023-ZX-79768,Amy Walker,UM5,AI,Passable,9f8a2d0720dc14ed30bdf3811549b6417dfa49b84f0eaa881f70e3f0b60a1c9d,1
ESI-2025-ZX-94686,Jose Bennett,ESI,Data Science,Tres Bien,b54c580a0cf15d8200ea246c0b1c115c042d49f70a9020e8d6c5c7a999049efe,1
EMI-2024-ZX-79863,Andrew Alexander,EMI,Blockchain,Assez Bien,0f3d5d56599e3db4c17aab52156d40c9cf9ab63eb7099a6867b29c1bf32394d5,1
ESI-2023-ZX-19499,Daniel Jones,ESI,Blockchain,Assez Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ENSA-2023-XX-74628,Amanda Hicks,ENSA,Informatique,Passable,c0588d4bc0ff8f0a42f92392760944a579c38d5fa7c9febb9fe668a7973b38e3,0
ESI-2023-ZX-16266,Vincent Jenkins,ESI,Informatique,Passable,7b903840b32714e6314aa87cbdb38b09411905474f347377dfacb1e647e80f0a,1
ENSIAS-2026-ZX-38305,Rodney Gentry,UM6,Data Science,Passable,170bb0293ae1cc53d4f659a0287f03bb390c25c38efccd92f07afc0862857c84,0
UM5-2026-ZX-82513,Jennifer Steele,UM5,AI,Assez Bien,2dcb5cb8cc1dbb5401f4636d88790b4e6e44a1ce19b11442b7d31ea476c32e22,1
EMI-2025-ZX-20570,Carolyn Watson,EMI,Informatique,Bien,d097b78d032a77f1cf235f3b6b201c381b98297f5e7802143c67a3aead6b0dc8,0
ENSA-2010-ZX-14666,Colleen Rodriguez,ENSA,AI,Passable,ccb2f4f8ebdf1a9d7302591203c9f0dff4fecd8872099d7bffc3013572f18bcd,0
ESI-2026-ZX-74791,Kyle Day,ESI,Data Science,Passable,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
EMI-2024-ZX-24432,Jade Singleton,EMI,Data Science,Assez Bien,7ef9bf4d1ae352e5eb18715e9254f9b451506de401f2fff62aa80169ddbf4248,1
UM5-2023-ZX-52302,Crystal Farrell,UM5,AI,Tres Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ENSA-2024-ZX-20870,Benjamin Ball,ENSA,Data Science,Bien,183f5e8236068eecbe9b5a69e4d5994e5e0c47b6a6529317e259d4a71babe56f,1
EMI-2024-ZX-80089,David Velez,EMI,Informatique,Assez Bien,c82501a2e700dc67d0ab874c5e0ee4b9856f4fb1c4f4b9b7fa09429959d14577,1
ENSIAS-2026-ZX-61495,Kimberly Jones,ENSIAS,Cybersecurity,Bien,b31baef8730dd3895baa369828cf0dbfce82af0814bedee77597001f50421108,1
ENSIAS-2023-ZX-38675,Kristin Cook,ENSIAS,Unknown Field,Bien,332db8372bb507cbcdaee085ec69cdf17c686c7e541287ae339fff6547458df5,0
ENSIAS-2026-ZX-65958,Deborah Jones,ENSIAS,Fake AI,Tres Bien,6ee516f8269448f66d106b2596d26d29e8f524d588ccbda52846b4f35e5ee957,0
ESI-2026-ZX-69262,Joseph Oconnell,ESI,AI,Passable,17bfdc41557756a66bb3046c260c8e2a9194f242d68960cc0b322df70407afdc,1
EMI-2026-ZX-47865,Crystal Terry,EMI,Cybersecurity,Bien,d2d45fb4a4a9a56c16e73a7bea005f57768b839fc8353f3b82a7181a8b378c9a,1
ESI-2024-ZX-63881,Michael Griffith,ESI,Data Science,Tres Bien,d9e3612df29bf18896dd0afa8a66de02dd578c57bd86df30385087b1565a7287,1
ESI-2026-ZX-69673,Daniel Silva,ESI,Informatique,Passable,dbbdce38f9d4e7dcdee53de0cb393cc1c7f2995b70aa0bd4d603966e0549583a,1
ENSIAS-2026-ZX-51550,Jacob Shields,ENSIAS,Data Science,Bien,c38aecbadeabb3012db475331fed05b4a3066b38c8e020d5af253630e61b111a,1
ENSIAS-2023-ZX-37167,Eric Kirk,ENSIAS,Informatique,Bien,ffda837396719bc1832019e73b96341dcb0b4ecb8a2f5332f3de6d542d3b4755,1
UM5-2026-ZX-79204,Kathleen Williams MD,UM5,Data Science,Tres Bien,95af834531a16ff81b0928704f7fd1cf1b9e2f72a7eb8a4641ff1115d2c56c7d,1
ESI-2023-ZX-37242,Jessica Taylor,ESI,AI,Passable,a5d34c10387928e632b00ce1400fadb831fa29399bf6f6acaa6888f3191f330f,1
ESI-2026-ZX-45276,Matthew Martin,ESI,Cybersecurity,Assez Bien,18dead8234c707055347d40fea970c4a1a94a828c7e3442be96f4db953e4d9ca,1
ESI-2025-ZX-79836,Susan Sanders,ESI,Informatique,Bien,b056c62ed0e1ea96d981f8d54ca64f4743ba7df0a6f16657592d52e7c4eddbe2,1
ENSA-2023-ZX-10652,Alan Torres,ENSA,Data Science,Bien,10e447611affffe738c41160bc6069e2d3d6e1b69245264cb2a8350ab4660d42,1
ENSIAS-2026-ZX-89046,Laura Durham,UNKNOWN,Cybersecurity,Assez Bien,96abf218e84f8d875faef50224e6c978c87590af8432a343f64c4f3298bcaca5,0
EMI-2025-ZX-52414,Richard Meadows,EMI,AI,Tres Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
EMI-2026-ZX-17778,Angela Gomez,EMI,Data Science,Passable,e90a793cf817e6477fe45d08ae3a1f6e77be412edf9090403449bdd9b33c3545,1
ENSA-2024-ZX-78663,Victoria Martinez,ENSA,Cybersecurity,Passable,b6688075d2914dbded6432dabcf643a0aa51d247713a6458f8d7f853b99d2211,1
ENSA-2023-ZX-70729,Stacey Scott,ENSA,Blockchain,Bien,506680f373ac67c904ff9515313de2b59d2aec24b7d1d83c80b1a77af474b6d1,1
ENSIAS-2026-ZX-63088,Ashley Barnes,ENSIAS,Cybersecurity,Tres Bien,73600190ccb54ae62c63e70cfa9e27a7809e0a2509d721e61fe71fdcf8d5f291,1
ESI-2024-ZX-37117,Blake Wells,ESI,AI,Passable,8129cc4d2fee330d9e211e2f195bc785c8c5942f412c00bc2c7ae33f022bef3b,1
EMI2026ZX15702,Stephanie Nielsen,EMI,Informatique,Bien,f122d14be661c81e0135f24cfea487b8cac29d3643f8b8a6da21e7e977d9dc54,0
EMI-2023-ZX-15549,John Hansen,EMI,Data Science,Passable,f68e7f423518dd07a320e95d6b7c6a766b7f700870d93c762d1373987e090b46,1
UM5-2024-ZX-70123,April Grant,UM5,Blockchain,Tres Bien,95cb23cddee2dda6053bae42dd0e54a82fbad2f18099d359504e351105ceee2c,1
EMI-2025-ZX-17941,Jared Gray DDS,EMI,Blockchain,Bien,ff5f5099eff60487b1ee3cb8efd99963184059ee0ba21ac92d5cfdbbcbe1d4e1,1
UM5-2024-ZX-31129,Jeffrey Carter,UM5,AI,Assez Bien,bdc60cb13d3765ccd14be71e9567ea9ef3d2c65f0a467e0c09eefdc7072a76e3,1
ESI-2023-ZX-50687,Veronica Ho,ESI,AI,Assez Bien,6de06af28ca7247d911f656674811c0d795069a3c7cdd5a7349fbac02e705d47,1
ESI-2025-ZX-46418,Andre Montgomery,ESI,Data Science,Bien,f5fe288d3c422efa18dc880ac6dfff11d438f9933fa48603af650c76f928ec38,1
ESI-2025-ZX-52599,Ryan Newton,UM6,Data Science,Tres Bien,be0d6fe2744b24139e095a95547fb8132379a50822a7fbaa0a32e2a3a1a27a1b,0
ENSIAS-2026-ZX-15055,Patricia Ortiz,ENSIAS,Data Science,Bien,4fd1b2857b5d71d9d359cb34872d92beef426e595c88763ec6adf51ba5f3c10c,1
ENSIAS-2023-XX-63983,Kelly Davis,ENSIAS,Data Science,Assez Bien,14d49a7ee26b543b1ffb650099fd6f3a7419370799d0fd5f1b9e7278dd05ea76,0
ESI-2023-ZX-55095,Andre Kelly,ESI,AI,Bien,7ca6739c5f67e408abdac6205852b6f15db5751be58ecff840c889180afad0cc,1
ESI-2023-ZX-47554,Edward Hall,ESI,Cybersecurity,Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ESI-2040-ZX-85735,Susan Johnston,ESI,Blockchain,Assez Bien,a3287bf9c258b404714e6c14f89552735ea8dc3523682832d5eaaf1a48780a1c,0
EMI-2024-ZX-18995,Susan Mullins,EMI,Informatique,Assez Bien,cb37d4f453ef2f81e0372abc0d2b3a08fc0102aabdc6c5b168c98289ab6bf19d,1
ENSA-2024-ZX-85218,Angela Mora,ENSA,Informatique,Bien,bce1f27df9e33fef501dd1c68ff920f058e2d029556d4c33b34ebbea5f7e4dfe,1
ENSA-2024-ZX-51052,Anthony Joyce,ENSA,Fake AI,Tres Bien,5cd106b7f484c401f94b30a890ee4b62ada0a6ba1f14dc777848de948c6b7662,0
EMI-2026-ZX-65651,William Brown,UM6,AI,Passable,16f6c5885d381a3530ec713703f7ce0cb1c4b43067814339717b848ceb46ed77,0
ENSIAS-2023-ZX-91906,John Harrison,ENSIAS,Data Science,Passable,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ESI-2023-ZX-20637,Heather Gutierrez,ESI,Data Science,Bien,a97d2e667d63d5a516dc3b1ac67293456f13d64e0365140ca0fe1e5c542c1eff,1
EMI-2024-ZX-13485,Elizabeth Weaver,EMI,Data Science,Assez Bien,6febce988dcf4c80ffdd272879e9f8bbd201f34d0b255c82ad11a2fe477b25a5,1
EMI-2026-ZX-68570,Amber Davis,EMI,Data Science,Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ENSA-2024-ZX-31438,Jordan Lambert,ENSA,Blockchain,Bien,723aaefaf10eb734e79e28aff3dd694968ddd5931497d1e5a57f0abece82124a,1
ENSIAS-2023-ZX-13042,Nicolas Dixon,ENSIAS,Data Science,Passable,dd1eeb30b7a75a507abaef9b2ae15e7df26209957765a322d15467f33d7b68dc,1
ESI-2025-ZX-60820,Anthony Smith,ESI,Hacking,Bien,6e177ab9c175548f5d62ee92ee9282cc57230a9cd9762ff432f5c2bbf515306a,0
UM5-2024-ZX-13834,John Davis,UM5,Informatique,Bien,7faefbaff0c0aefe2baee9c1caa81bd657471f453f4f0b348f072676b2acbadc,1
ENSIAS-2026-ZX-74713,Jessica Whitehead,ENSIAS,Fake AI,Tres Bien,a09082b96aa1cc87e34da24f472ead49b71ae0319b08d17e95549018333cad37,0
ESI-2025-ZX-91232,Debra Cortez,ESI,Informatique,Bien,258907fcc4f2a345f0d0dc63b22d4df0c51b83a397e32da8706d43a5b322d558,1
EMI-2023-ZX-87507,Erica Herman,EMI,Cybersecurity,Tres Bien,b22a816b1b6b3e4629bfa09aace0806d724e063dcafea85acec1e20753df696f,1
ENSA-2024-ZX-32596,Eric Green,ENSA,Informatique,Passable,93da4ee23ba75c069278929a6707c173a00fccaa7fceae1a590fb0d2ee5ef972,1
ESI-2023-ZX-31527,Rachel White,ESI,Fake AI,Tres Bien,908655aceb201c7e6ca29168e70ea27a9caf511f65b693a10f4c0cbd9b6cc759,0
ENSA-2026-ZX-96720,Sara Benjamin,ENSA,Hacking,Passable,18a08101c9ddc436d07a9889936667e2bb9da2ea5e3c7c7fd5c9022def1f3d9c,0
ENSA-2024-ZX-36345,Steven Huber,ENSA,AI,Bien,538be8ec5163e4aa2d25cafa02ce0799ecd24f4035cc5746e9a46c6d2d1b4a4a,1
EMI-2023-ZX-19763,Anthony Lamb,EMI,Data Science,Tres Bien,9908b58026d5f782e65a4430cf4e892b34dc6b028ec666d92705ef8e56124e74,1
EMI-2025-ZX-42032,Michael Smith,EMI,Data Science,Tres Bien,57ed739ba241ba71dfd773bf7fac97ea73b3fb0cf13b3e4b12bf8fc1ba0ced4e,1
UM5-2024-ZX-19919,Erika Chapman,UNKNOWN,Cybersecurity,Bien,10a0bc786861652848116867b291e45940545dbf919786fca20f064283303196,0
EMI-2025-ZX-97991,Philip Howell,UNKNOWN,Cybersecurity,Tres Bien,95a526dc21a21906dceff4672b943191b28923a7c43c36aea4a9318128b30721,0
EMI-2026-ZX-85354,April Garcia,EMI,Blockchain,Passable,5c507ff793c63a8e954cc9b1a04c6d098ace53fd001c8a294d2cea80a6761728,1
UM5-2026-ZX-91428,Debra Austin,UM5,AI,Passable,801c3c9c34a122d9002c782c8ef5bd630f8b7140a176440c50eb97d8d44e556a,1
EMI-2026-ZX-21519,Heather Jackson,EMI,Informatique,Passable,065f72346f699bdf8070a60219df116a698c95d406696551cb885990443fde7e,1
UM5-2025-ZX-86364,John Vazquez,UM6,Informatique,Bien,19fa0bb44174ee2e832eb8d9814f3dcf2572507aee2f56b9d5d1e3611844b04e,0
ENSIAS-2023-XX-85467,Kayla Ward,ENSIAS,Cybersecurity,Bien,bd16f4e3fc761f4cac7e5dd7427701f144a5fd114e8c9bc70371b95670327068,0
ESI-2024-ZX-13802,Billy Figueroa,ESI,Informatique,Bien,7803b8dd8a3570d4a096852cb5240ec9089889ef87540e819648011e9c933f15,1
ESI-2025-ZX-58718,Christine Swanson,ESI,Informatique,Tres Bien,782af8e49aa787b5ee7846edee5c414bca8337dcbff40b0e90210406c6242b36,1
ESI-2010-ZX-89399,Denise Nichols,ESI,Data Science,Bien,599edbf1078cbda9314ee9578465e49653c0c31ec80068003bf26f59604d09c6,0
EMI-2025-ZX-43330,Joshua Campbell,EMI,Informatique,Assez Bien,919377f33b45baa98e4eb6e4974fae3938d765784739113f12a47fe270300e3c,1
EMI-2023-ZX-69229,Kyle Taylor,EMI,Cybersecurity,Tres Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ESI2025ZX59334,William Phillips,ESI,Blockchain,Bien,6dfe6f4583cc069d156c4a2f026ea6727dc9f4a2f1b02405d22bb7cc398e90b6,0
UM5-2024-XX-27531,James Lee,UM5,Blockchain,Tres Bien,99e3f0ca8fd3679a705888625bf37ff8b25f587c83dd79e0a0cf7ee95f4bb277,0
UM5-2025-ZX-15821,Brian Maldonado,UM5,Informatique,Passable,dafecc37e878aa3b507b2e5d87107219e16cb6c6cb35396228d99c8b032c3ce9,0
ESI-2024-ZX-75832,Mrs. Tracy Hawkins,ESI,AI,Passable,00380b7cd6383311dbf5b395e51d7c61e1804b4f1b462423ec52abdc49d4b4d2,1
ENSA-2024-ZX-89201,Linda Watson,ENSA,Blockchain,Assez Bien,cd4b9e2ddc67ab356add67e382db512587eca0a3cefdb9b92da950edc3bf1608,1
ESI2025ZX15884,John Shaw,ESI,Blockchain,Passable,ae588ae0aeb988c76ca0a86d7f592e444258070f7d1a334628906a8737622356,0
ENSA-2025-ZX-88643,Marvin Lopez,ENSA,AI,Tres Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
ESI2025ZX24953,Dylan Sanders,ESI,AI,Passable,f098443452359132a125f29d44e4ec2c56ed4958406dc0542b134daa34f2a0a5,0
UM5-2024-ZX-49315,Joshua Ward,UM5,AI,Assez Bien,245bf82e0ac19a0dde2414e2b452abfecfc767736da62cf000acec97fd7ab8db,1
UM5-2023-XX-14815,Mary Mercer,UM5,AI,Tres Bien,a487f3e3b7fbadc453e12469b50a9ba6e8798a4a842d324fcacbb003d3e3ef3a,0
EMI-2023-ZX-56331,Walter Medina,EMI,Blockchain,Bien,e9149501cd30963a3379c685501e738475605abf099f28b66c13cd019f2d3dd9,1
UM5-2025-XX-97539,Tammy Roberts,UM5,Informatique,Bien,aba3ddbadc769af60ae96491daf2bed36d7d3bc7ef028aa3ca3ef629a84b3c34,0
UM5-2024-ZX-66278,Ruben Black,UM5,Informatique,Tres Bien,ef4efb50e87cba56d6e39094836363c645fe3c564b9c7e1073e370dab9e175c2,1
ESI-2023-ZX-98476,April Berry,ESI,Informatique,Passable,d0df1b6f9c0afe3364d342c913d4a99c351888f4ac82e3a279467f35682d6273,1
ESI-2026-ZX-99917,Amanda Thomas,ESI,Data Science,Bien,4607754b53529da15c0b4ddf4041824a79623b010184c650e672790bb9f4b97d,1
ENSA-2025-ZX-89465,Deanna Phillips,ENSA,Blockchain,Assez Bien,a64323337c0e9f5677454cb20b89dccb4bbb200d6836221ea8c9c63d953ec71c,1
ENSIAS-2026-ZX-74579,Alexander King,ENSIAS,AI,Assez Bien,d848742f37520433bd70f542c657d39448c12e539ece1c2f44a666b2ee815170,1
ESI-2024-ZX-62655,Scott Barnett,ESI,Data Science,Assez Bien,fcfaa8f2df967660cfdff43e0214fdc32714845f9deda8585ec251655812639f,0
EMI-2026-ZX-72027,Patricia Santana,EMI,AI,Assez Bien,347e5edad2f01f6d561719d90a1a7c7a0b2191e50478c8f008b0948ff685df2d,1
ESI-2026-ZX-97817,Suzanne Williams,ESI,Informatique,Passable,3e7bbdd5d1060bee21a875d7f27d58111d0a59bef47a1d07006d5f97828ae434,1
ESI-2025-ZX-90365,Sarah Salas,ESI,Blockchain,Assez Bien,94a14bbf000225eff739aeb61ef2a91e11cea9c1646b0bd8ce58a3b170d86613,1
ENSA-2025-ZX-85940,Jeffrey Andrade,ENSA,Informatique,Assez Bien,51a2f7d2589926657e31e2b51d9065be07dcf7be7cce0437b2c8e93c00696186,0
EMI-2024-ZX-61758,Daniel Peterson,EMI,AI,Assez Bien,1d5567ae698193ff3bf7228ff5067bbcee50e25100edb58b98c73cbd92a6f147,0
EMI-2026-XX-41855,Jamie Prince,EMI,Blockchain,Bien,95af415fb5dd0f776a8bbd8f0a2e69ca8cb8cd01c2862171911e3b5ba2c27fd1,0
ESI-2023-XX-88426,Jody Kelly,ESI,Cybersecurity,Passable,63a839c4defc3bd8290c0bfaf267c91b94215fadd1f0e644f18e3397dd71984e,0
ENSA-2023-ZX-15300,Jennifer Burton,ENSA,Data Science,Tres Bien,5e0526a1054239fad922d11a45690ca70db6f6585378805b001769df4630567f,1
EMI-2023-ZX-18030,Diane Hicks,EMI,AI,Passable,9a47c923eed01322230ac0df0eb3fd2af7bc69eb77731f10203452b5f47db46a,1
ESI-2026-XX-91506,Donna Lopez,ESI,Blockchain,Tres Bien,59e8bc1431345519fcb968715c3336c707a59342ca94c5770338c0eaee27b8c1,0
